0	50.195313
1	27.159433
2	25.212915
3	24.882716
4	23.726177
5	23.091049
6	22.200714
7	21.593364
8	20.954379
9	20.380546
10	19.812645
11	19.326244
12	18.879340
13	18.506028
14	18.084780
15	17.703077
16	17.366030
17	17.064284
18	16.765673
19	16.498553
20	16.217110
21	15.981964
22	15.728202
23	15.488764
24	15.298418
25	15.107253
26	14.939959
27	14.740258
28	14.628231
29	14.443432
30	14.315876
31	14.122492
32	13.978250
33	13.823110
34	13.686680
35	13.568335
36	13.440249
37	13.316647
38	13.206983
39	13.120370
40	13.011140
41	12.898823
42	12.824605
43	12.695988
44	12.625916
45	12.498023
46	12.418981
47	12.326341
48	12.237944
49	12.160012
50	12.069059
51	11.955392
52	11.857639
53	11.778887
54	11.726804
55	11.622685
56	11.540027
57	11.465037
58	11.400849
59	11.382957
60	11.298997
61	11.234664
62	11.199122
63	11.136574
64	11.056038
65	11.000868
66	10.935716
67	10.825521
68	10.813223
69	10.755257
70	10.713638
71	10.639371
72	10.646701
73	10.543596
74	10.512346
75	10.501109
76	10.463059
77	10.406588
78	10.368345
79	10.312548
80	10.254244
81	10.239680
82	10.199894
83	10.180507
84	10.155478
85	10.061632
86	10.034240
87	9.975646
88	9.891782
89	9.843171
90	9.830970
91	9.765577
92	9.747058
93	9.722367
94	9.677324
95	9.657118
96	9.617043
97	9.619695
98	9.569782
99	9.585455
100	9.523148
101	9.482832
102	9.465230
103	9.450039
104	9.427373
105	9.391011
106	9.365307
107	9.351563
108	9.307292
109	9.285880
110	9.220583
111	9.209201
112	9.175106
113	9.138841
114	9.092110
115	9.059172
116	9.020833
117	8.992188
118	8.973862
119	8.949267
120	8.928771
121	8.903598
122	8.856578
123	8.851804
124	8.755835
125	8.723235
126	8.663098
127	8.683160
128	8.657697
129	8.653598
130	8.615596
131	8.582658
132	8.558835
133	8.528019
134	8.502363
135	8.501206
136	8.464554
137	8.456694
138	8.432919
139	8.434848
140	8.371865
141	8.392361
142	8.340615
143	8.336661
144	8.332948
145	8.321759
146	8.330536
147	8.307677
148	8.285204
149	8.297020
150	8.255305
151	8.237076
152	8.234713
153	8.184655
154	8.184076
155	8.181134
156	8.167824
157	8.147425
158	8.110291
159	8.092062
160	8.093509
161	8.038243
162	8.017602
163	8.032070
164	8.002122
165	7.988619
166	7.999614
167	7.964265
168	7.971885
169	7.945747
170	7.929543
171	7.899788
172	7.873601
173	7.829716
174	7.846451
175	7.792004
176	7.777730
177	7.756318
178	7.751495
179	7.702016
180	7.687114
181	7.652922
182	7.632861
183	7.617236
184	7.604167
185	7.604215
186	7.597222
187	7.538484
188	7.542583
189	7.492622
190	7.492766
191	7.468509
192	7.449846
193	7.438947
194	7.418306
195	7.390529
196	7.362076
197	7.315876
198	7.299045
199	7.309848
200	7.271508
201	7.273245
202	7.256510
203	7.267940
204	7.249180
205	7.244936
206	7.251881
207	7.237847
208	7.246383
209	7.235677
210	7.182002
211	7.191647
212	7.195313
213	7.169126
214	7.146364
215	7.130064
216	7.133681
217	7.100646
218	7.097415
219	7.075569
220	7.069878
221	7.044464
222	7.016252
223	7.015721
224	7.017747
225	6.980613
226	6.975743
227	6.964169
228	6.988474
229	6.966580
230	6.983652
231	6.975598
232	6.964120
233	6.953800
234	6.943046
235	6.938850
236	6.931472
237	6.888792
238	6.919030
239	6.882378
240	6.860774
241	6.866078
242	6.867959
243	6.870467
244	6.858989
245	6.875386
246	6.835214
247	6.823302
248	6.789255
249	6.788677
250	6.799190
251	6.775993
252	6.774932
253	6.757861
254	6.738040
255	6.707706
256	6.722367
257	6.721113
258	6.714796
259	6.694830
260	6.689477
261	6.681906
262	6.688320
263	6.654900
264	6.660880
265	6.649884
266	6.647425
267	6.627556
268	6.639709
269	6.638310
270	6.659240
271	6.604022
272	6.610966
273	6.613908
274	6.594715
275	6.602720
276	6.597801
277	6.580102
278	6.581356
279	6.562355
280	6.557340
281	6.561101
282	6.558304
283	6.547550
284	6.534770
285	6.528019
286	6.498167
287	6.490548
288	6.456356
289	6.429977
290	6.420959
291	6.418306
292	6.399354
293	6.400801
294	6.371865
295	6.373505
296	6.343075
297	6.318094
298	6.287905
299	6.312018
300	6.313223
301	6.315876
302	6.308642
303	6.324508
304	6.320216
305	6.333044
306	6.316503
307	6.335214
308	6.327257
309	6.315924
310	6.307243
311	6.309028
312	6.292149
313	6.277778
314	6.270110
315	6.272811
316	6.245563
317	6.248264
318	6.231578
319	6.225309
320	6.215808
321	6.191069
322	6.190731
323	6.148341
324	6.155093
325	6.131896
326	6.126688
327	6.135079
328	6.112027
329	6.138503
330	6.120177
331	6.100357
332	6.088108
333	6.067612
334	6.047405
335	6.053723
336	6.061632
337	6.042004
338	6.044223
339	6.046200
340	6.038725
341	6.011092
342	5.994647
343	5.992139
344	5.983893
345	5.965519
346	5.952691
347	5.953029
348	5.935716
349	5.936632
350	5.940972
351	5.909626
352	5.934172
353	5.916956
354	5.917149
355	5.901910
356	5.895255
357	5.884983
358	5.866319
359	5.861497
360	5.846933
361	5.826775
362	5.865017
363	5.858941
364	5.845534
365	5.827836
366	5.829186
367	5.831453
368	5.830922
369	5.826292
370	5.814959
371	5.813320
372	5.797068
373	5.800974
374	5.798322
375	5.791184
376	5.794946
377	5.791860
378	5.790799
379	5.810716
380	5.801987
381	5.784770
382	5.808256
383	5.806617
384	5.808208
385	5.802228
386	5.799624
387	5.792921
388	5.800829
389	5.794223
390	5.803578
391	5.819927
392	5.791860
393	5.803578
394	5.790123
395	5.782841
396	5.784722
397	5.756944
398	5.767024
399	5.752797
